LANGUAGE,English,French,Italian,Spanish,German,Czech,Polish,Russian
STR_DISP_MAIN_OPT_GRAPHICS_BRIGHTNESS_DESC,Uniform multiplier in the post pass.,Multiplicateur uniforme dans le post-traitement.,Moltiplicatore uniforme nel post-processo.,Multiplicador uniforme en el posprocesado.,Einheitlicher Multiplikator im Post-Processing.,Jednotný násobitel v postprocesu.,Jednolity mnożnik w postprocessingu.,Единый множитель в постобработке.
STR_DISP_MAIN_OPT_GRAPHICS_GAMMA,Gamma,Gamma,Gamma,Gamma,Gamma,Gama,Gamma,Гамма
STR_DISP_MAIN_OPT_GRAPHICS_GAMMA_DESC,Display LUT gamma curve.,Courbe gamma de la LUT d'affichage.,Curva gamma della LUT di visualizzazione.,Curva gamma de la LUT de pantalla.,Gamma-Kurve der Anzeige-LUT.,Křivka gama v zobrazovací LUT.,Krzywa gamma tablicy LUT ekranu.,Гамма-кривая LUT дисплея.
STR_DISP_MAIN_OPT_VALUE_OFF,Off,Désactivé,Disattivato,Desactivado,Aus,Vypnuto,Wyłączone,Выкл.
STR_DISP_MAIN_OPT_VALUE_ON,On,Activé,Attivo,Activado,Ein,Zapnuto,Włączone,Вкл.
STR_DISP_MAIN_OPT_VALUE_CUSTOM,Custom,Personnalisé,Personalizzato,Personalizado,Benutzerdefiniert,Vlastní,Własne,Свои настройки
STR_DISP_MAIN_OPT_VALUE_LOW,Low,Faible,Basso,Bajo,Niedrig,Nízká,Niska,Низкое
STR_DISP_MAIN_OPT_VALUE_MEDIUM,Medium,Moyen,Medio,Medio,Mittel,Střední,Średnia,Среднее
STR_DISP_MAIN_OPT_VALUE_HIGH,High,Élevé,Alto,Alto,Hoch,Vysoká,Wysoka,Высокое
STR_DISP_MAIN_OPT_VALUE_ULTRA,Ultra,Ultra,Ultra,Ultra,Ultra,Ultra,Ultra,Ультра
STR_DISP_MAIN_OPT_VALUE_ADAPTIVE,Adaptive,Adaptatif,Adattiva,Adaptativo,Adaptiv,Adaptivní,Adaptacyjne,Адаптивно
STR_DISP_MAIN_OPT_VALUE_UNLIMITED,Unlimited,Illimité,Illimitato,Sin límite,Unbegrenzt,Bez omezení,Bez limitu,Без ограничений
STR_DISP_OPT_CONTROLS,Controls,Commandes,Comandi,Controles,Steuerung,Ovládání,Sterowanie,Управление
STR_DISP_OPT_CTL_KBM,Keyboard & Mouse,Clavier et souris,Tastiera e mouse,Teclado y ratón,Tastatur und Maus,Klávesnice a myš,Klawiatura i mysz,Клавиатура и мышь
STR_DISP_OPT_CTL_MOUSE,Mouse,Souris,Mouse,Ratón,Maus,Myš,Mysz,Мышь
STR_DISP_OPT_CTL_GAMEPAD,Gamepad,Manette,Gamepad,Mando,Gamepad,Gamepad,Gamepad,Геймпад
STR_DISP_OPT_CTL_GAMEPAD_TUNING,Gamepad Tuning,Réglages manette,Configurazione gamepad,Ajustes mando,Gamepad-Einstellungen,Nastavení gamepadu,Strojenie gamepada,Настройка геймпада
STR_DISP_OPT_CTL_RESET_ALL,Reset all to defaults,Tout réinitialiser,Ripristina tutto,Restaurar todo,Alle zurücksetzen,Resetovat vše,Resetuj wszystko,Сбросить всё
STR_DISP_OPT_CTL_RESET_CAT,Reset (this category),Réinitialiser (cette catégorie),Reimposta (categoria),Restaurar (esta categoría),Diese Kategorie zurücksetzen,Resetovat (kategorie),Resetuj (kategorię),Сбросить (категорию)
STR_DISP_OPT_CTL_CATEGORY,Category,Catégorie,Categoria,Categoría,Kategorie,Kategorie,Kategoria,Категория
STR_DISP_OPT_CTL_CAT_ONFOOT,On foot,À pied,A piedi,A pie,Zu Fuß,Pěšky,Pieszo,Пешком
STR_DISP_OPT_CTL_CAT_VEHICLES,Vehicles,Véhicules,Veicoli,Vehículos,Fahrzeuge,Vozidla,Pojazdy,Транспорт
STR_DISP_OPT_CTL_CAT_PILOT,Pilot,Pilote,Pilota,Piloto,Pilot,Pilot,Pilot,Пилот
STR_DISP_OPT_CTL_CAT_GUNNER,Gunner,Tireur,Mitragliere,Artillero,Schütze,Střelec,Strzelec,Стрелок
STR_DISP_OPT_CTL_CAT_COMMON,Common,Commun,Comune,Común,Allgemein,Společné,Wspólne,Общие
STR_DISP_OPT_CTL_GAMEPAD_GROUP_MOVEMENT,Movement,Mouvement,Movimento,Movimiento,Bewegung,Pohyb,Ruch,Движение
STR_DISP_OPT_CTL_GAMEPAD_GROUP_AIM,Aim,Visée,Mira,Apuntar,Zielen,Míření,Celowanie,Прицеливание
STR_DISP_OPT_CTL_GAMEPAD_GROUP_FREELOOK,Freelook,Vue libre,Visuale libera,Vista libre,Umschauen,Volný pohled,Swobodne rozglądanie,Свободный обзор
STR_DISP_OPT_CTL_CATEGORY_DESC,Filter the binding list by activity context.,Filter the binding list by activity context.,Filter the binding list by activity context.,Filter the binding list by activity context.,Filter the binding list by activity context.,Filtrovat seznam přiřazení podle kontextu činnosti.,Filter the binding list by activity context.,Filter the binding list by activity context.
STR_DISP_OPT_CTL_BINDING_DESC,Press Enter to rebind. Esc to cancel during capture.,Press Enter to rebind. Esc to cancel during capture.,Press Enter to rebind. Esc to cancel during capture.,Press Enter to rebind. Esc to cancel during capture.,Press Enter to rebind. Esc to cancel during capture.,Stiskněte Enter pro nové přiřazení. Esc zruší zachytávání.,Press Enter to rebind. Esc to cancel during capture.,Press Enter to rebind. Esc to cancel during capture.
STR_DISP_OPT_CTL_RESET_CAT_DESC,Restore default %s bindings for this category only.,Restore default %s bindings for this category only.,Restore default %s bindings for this category only.,Restore default %s bindings for this category only.,Restore default %s bindings for this category only.,Obnoví výchozí přiřazení %s jen pro tuto kategorii.,Restore default %s bindings for this category only.,Restore default %s bindings for this category only.
STR_DISP_OPT_DIFF_MODE_DESC,Choose which role preset you are editing.,Choose which role preset you are editing.,Choose which role preset you are editing.,Choose which role preset you are editing.,Choose which role preset you are editing.,"Vyberte, kterou roli právě upravujete.",Choose which role preset you are editing.,Choose which role preset you are editing.
STR_DISP_OPT_DIFF_SETTING_DESC,Toggle this setting for the currently selected role.,Toggle this setting for the currently selected role.,Toggle this setting for the currently selected role.,Toggle this setting for the currently selected role.,Toggle this setting for the currently selected role.,Přepíná toto nastavení pro právě vybranou roli.,Toggle this setting for the currently selected role.,Toggle this setting for the currently selected role.
STR_DISP_OPT_DIFF_RESET_DESC,Restore the original difficulty defaults for the selected role.,Restore the original difficulty defaults for the selected role.,Restore the original difficulty defaults for the selected role.,Restore the original difficulty defaults for the selected role.,Restore the original difficulty defaults for the selected role.,Obnoví původní výchozí obtížnost pro vybranou roli.,Restore the original difficulty defaults for the selected role.,Restore the original difficulty defaults for the selected role.
STR_DISP_OPT_MOUSE_REVERSE_Y,Y-axis inversion,Y-axis inversion,Y-axis inversion,Y-axis inversion,Y-axis inversion,Inverze osy Y,Y-axis inversion,Y-axis inversion
STR_DISP_OPT_MOUSE_REVERSE_Y_DESC,Invert vertical mouse motion - pushing the mouse forward looks down.,Invert vertical mouse motion - pushing the mouse forward looks down.,Invert vertical mouse motion - pushing the mouse forward looks down.,Invert vertical mouse motion - pushing the mouse forward looks down.,Invert vertical mouse motion - pushing the mouse forward looks down.,Obrátí svislý pohyb myši - posunutí myši dopředu sklopí pohled dolů.,Invert vertical mouse motion - pushing the mouse forward looks down.,Invert vertical mouse motion - pushing the mouse forward looks down.
STR_DISP_OPT_MOUSE_SWAP_BUTTONS,Mouse buttons swap,Mouse buttons swap,Mouse buttons swap,Mouse buttons swap,Mouse buttons swap,Prohození tlačítek myši,Mouse buttons swap,Mouse buttons swap
STR_DISP_OPT_MOUSE_SWAP_BUTTONS_DESC,Swap left and right mouse buttons.,Swap left and right mouse buttons.,Swap left and right mouse buttons.,Swap left and right mouse buttons.,Swap left and right mouse buttons.,Prohodí levé a pravé tlačítko myši.,Swap left and right mouse buttons.,Swap left and right mouse buttons.
STR_DISP_OPT_MOUSE_SENSITIVITY_X,Mouse sensitivity X,Mouse sensitivity X,Mouse sensitivity X,Mouse sensitivity X,Mouse sensitivity X,Citlivost myši X,Mouse sensitivity X,Mouse sensitivity X
STR_DISP_OPT_MOUSE_SENSITIVITY_X_DESC,Horizontal mouse sensitivity. Range 0.5x to 2.0x.,Horizontal mouse sensitivity. Range 0.5x to 2.0x.,Horizontal mouse sensitivity. Range 0.5x to 2.0x.,Horizontal mouse sensitivity. Range 0.5x to 2.0x.,Horizontal mouse sensitivity. Range 0.5x to 2.0x.,"Vodorovná citlivost myši. Rozsah 0,5x až 2,0x.",Horizontal mouse sensitivity. Range 0.5x to 2.0x.,Horizontal mouse sensitivity. Range 0.5x to 2.0x.
STR_DISP_OPT_MOUSE_SENSITIVITY_Y,Mouse sensitivity Y,Mouse sensitivity Y,Mouse sensitivity Y,Mouse sensitivity Y,Mouse sensitivity Y,Citlivost myši Y,Mouse sensitivity Y,Mouse sensitivity Y
STR_DISP_OPT_MOUSE_SENSITIVITY_Y_DESC,Vertical mouse sensitivity. Range 0.5x to 2.0x.,Vertical mouse sensitivity. Range 0.5x to 2.0x.,Vertical mouse sensitivity. Range 0.5x to 2.0x.,Vertical mouse sensitivity. Range 0.5x to 2.0x.,Vertical mouse sensitivity. Range 0.5x to 2.0x.,"Svislá citlivost myši. Rozsah 0,5x až 2,0x.",Vertical mouse sensitivity. Range 0.5x to 2.0x.,Vertical mouse sensitivity. Range 0.5x to 2.0x.
STR_DISP_OPT_MOUSE_DPI,Mouse DPI,DPI de la souris,DPI del mouse,DPI del ratón,Maus-DPI,DPI myši,DPI myszy,DPI мыши
STR_DISP_OPT_MOUSE_DPI_DESC,Set this to your mouse's DPI (or close). Fine-tune with sensitivity for a smoother feel.,Réglez ceci sur le DPI de votre souris (ou proche). Affinez avec la sensibilité pour plus de fluidité.,Imposta questo sul DPI del tuo mouse (o simile). Regola con la sensibilità per maggiore fluidità.,Ajusta esto al DPI de tu ratón (o cercano). Afina con la sensibilidad para mayor suavidad.,Stelle dies auf die DPI deiner Maus (oder nahe dran). Justiere fein mit der Empfindlichkeit für ein flüssigeres Gefühl.,Nastavte na DPI vaší myši (nebo blízko). Dolaďte citlivostí pro plynulejší ovládání.,Ustaw na DPI swojej myszy (lub zbliżone). Dostrój czułością dla płynniejszego ruchu.,Укажите DPI вашей мыши (или близкое). Точно настройте чувствительностью для большей плавности.
STR_DISP_OPT_CTL_GAMEPAD_ENABLED,Gamepad enabled,Gamepad enabled,Gamepad enabled,Gamepad enabled,Gamepad enabled,Gamepad zapnut,Gamepad enabled,Gamepad enabled
STR_DISP_OPT_CTL_GAMEPAD_ENABLED_DESC,Master switch for gamepad input. Disable to ignore the controller entirely.,Master switch for gamepad input. Disable to ignore the controller entirely.,Master switch for gamepad input. Disable to ignore the controller entirely.,Master switch for gamepad input. Disable to ignore the controller entirely.,Master switch for gamepad input. Disable to ignore the controller entirely.,"Hlavní přepínač vstupu z gamepadu. Vypněte jej, chcete-li ovladač zcela ignorovat.",Master switch for gamepad input. Disable to ignore the controller entirely.,Master switch for gamepad input. Disable to ignore the controller entirely.
STR_DISP_OPT_CTL_GAMEPAD_STEERING,Gamepad steering,Gamepad steering,Gamepad steering,Gamepad steering,Gamepad steering,Gamepad steering,Gamepad steering,Gamepad steering
STR_DISP_OPT_CTL_GAMEPAD_STEERING_DESC,"Let the gamepad steer vehicles. Disabled: sticks and triggers never drive or fly; look and buttons still work.","Let the gamepad steer vehicles. Disabled: sticks and triggers never drive or fly; look and buttons still work.","Let the gamepad steer vehicles. Disabled: sticks and triggers never drive or fly; look and buttons still work.","Let the gamepad steer vehicles. Disabled: sticks and triggers never drive or fly; look and buttons still work.","Let the gamepad steer vehicles. Disabled: sticks and triggers never drive or fly; look and buttons still work.","Let the gamepad steer vehicles. Disabled: sticks and triggers never drive or fly; look and buttons still work.","Let the gamepad steer vehicles. Disabled: sticks and triggers never drive or fly; look and buttons still work.","Let the gamepad steer vehicles. Disabled: sticks and triggers never drive or fly; look and buttons still work."
STR_DISP_OPT_CTL_GAMEPAD_STICK_DEADZONE,Stick deadzone,Stick deadzone,Stick deadzone,Stick deadzone,Stick deadzone,Mrtvá zóna páčky,Stick deadzone,Stick deadzone
STR_DISP_OPT_CTL_GAMEPAD_STICK_DEADZONE_DESC,Center deadzone for the analog sticks. Range 0% to 50% of full deflection.,Center deadzone for the analog sticks. Range 0% to 50% of full deflection.,Center deadzone for the analog sticks. Range 0% to 50% of full deflection.,Center deadzone for the analog sticks. Range 0% to 50% of full deflection.,Center deadzone for the analog sticks. Range 0% to 50% of full deflection.,Středová mrtvá zóna analogových páček. Rozsah 0 % až 50 % plného vychýlení.,Center deadzone for the analog sticks. Range 0% to 50% of full deflection.,Center deadzone for the analog sticks. Range 0% to 50% of full deflection.
STR_DISP_OPT_CTL_GAMEPAD_TRIGGER_DEADZONE,Trigger deadzone,Trigger deadzone,Trigger deadzone,Trigger deadzone,Trigger deadzone,Mrtvá zóna spouští,Trigger deadzone,Trigger deadzone
STR_DISP_OPT_CTL_GAMEPAD_TRIGGER_DEADZONE_DESC,Activation threshold for the analog triggers. Range 0% to 50%.,Activation threshold for the analog triggers. Range 0% to 50%.,Activation threshold for the analog triggers. Range 0% to 50%.,Activation threshold for the analog triggers. Range 0% to 50%.,Activation threshold for the analog triggers. Range 0% to 50%.,Aktivační práh analogových spouští. Rozsah 0 % až 50 %.,Activation threshold for the analog triggers. Range 0% to 50%.,Activation threshold for the analog triggers. Range 0% to 50%.
STR_DISP_OPT_CTL_GAMEPAD_LOOK_SENSITIVITY,Look sensitivity,Look sensitivity,Look sensitivity,Look sensitivity,Look sensitivity,Citlivost rozhlížení,Look sensitivity,Look sensitivity
STR_DISP_OPT_CTL_GAMEPAD_LOOK_SENSITIVITY_DESC,Right-stick look-aim sensitivity. Range 0.1x to 5.0x.,Right-stick look-aim sensitivity. Range 0.1x to 5.0x.,Right-stick look-aim sensitivity. Range 0.1x to 5.0x.,Right-stick look-aim sensitivity. Range 0.1x to 5.0x.,Right-stick look-aim sensitivity. Range 0.1x to 5.0x.,"Citlivost pravé páčky pro rozhlížení a míření. Rozsah 0,1x až 5,0x.",Right-stick look-aim sensitivity. Range 0.1x to 5.0x.,Right-stick look-aim sensitivity. Range 0.1x to 5.0x.
STR_DISP_OPT_CAP_PRESS_KEY,Press a key,Appuyez sur une touche,Premi un tasto,Pulsa una tecla,Drücke eine Taste,Stiskněte klávesu,Naciśnij klawisz,Нажмите клавишу
STR_DISP_OPT_CAP_PRESS_BUTTON,Press a button,Appuyez sur un bouton,Premi un pulsante,Pulsa un botón,Drücke eine Taste,Stiskněte tlačítko,Naciśnij przycisk,Нажмите кнопку
STR_DISP_OPT_CAP_CAPTURED,Captured: %s,Capturé : %s,Acquisito: %s,Capturado: %s,Erfasst: %s,Zachyceno: %s,Wykryto: %s,Захвачено: %s
STR_DISP_OPT_CAP_WAITING,Waiting for input.,En attente de saisie.,In attesa dell'input.,Esperando entrada.,Warte auf Eingabe.,Čekám na vstup.,Oczekiwanie na wejście.,Ожидание ввода.
STR_DISP_OPT_CAP_CONFLICT,"Already used for ""%s"".","Déjà utilisé pour « %s ».","Già usato per «%s».","Ya se usa para «%s».","Bereits verwendet für „%s“.","Již použito pro „%s“.","Już używane przez „%s”.","Уже используется для «%s»."
STR_DISP_OPT_CAP_SAVE,Save,Enregistrer,Salva,Guardar,Speichern,Uložit,Zapisz,Сохранить
STR_DISP_OPT_CAP_REPLACE,Replace,Remplacer,Sostituisci,Reemplazar,Ersetzen,Nahradit,Zamień,Заменить
STR_DISP_OPT_CAP_RETRY,Retry,Réessayer,Riprova,Reintentar,Erneut,Znovu,Powtórz,Повторить
STR_DISP_OPT_CAP_CANCEL,Cancel,Annuler,Annulla,Cancelar,Abbrechen,Zrušit,Anuluj,Отменить
STR_DISP_OPT_CONFIRM_RESET_TITLE,Reset all controls to defaults?,Réinitialiser toutes les commandes ?,Ripristinare tutti i controlli?,¿Restaurar todos los controles?,Alle Steuerungen zurücksetzen?,Resetovat všechna ovládání?,Resetować wszystkie sterowania?,Сбросить все настройки управления?
STR_DISP_OPT_CONFIRM_RESET_BODY,All keyboard / mouse bindings will be restored to their original values.,"Toutes les affectations clavier / souris reviendront à leurs valeurs d'origine.","Tutti i tasti e i pulsanti del mouse torneranno ai valori originali.","Todas las asignaciones de teclado / ratón volverán a sus valores originales.",Alle Tastatur- und Mauszuweisungen werden auf die Standardwerte zurückgesetzt.,Veškeré přiřazení kláves a myši se vrátí na výchozí hodnoty.,"Wszystkie przypisania klawiatury / myszy zostaną przywrócone do wartości domyślnych.","Все назначения клавиатуры и мыши будут восстановлены до исходных значений."
STR_DISP_OPT_CONFIRM_YES,Yes,Oui,Sì,Sí,Ja,Ano,Tak,Да
STR_DISP_OPT_CONFIRM_NO,No,Non,No,No,Nein,Ne,Nie,Нет
STR_USRACT_ZOOM_TEMP,Zoom in (temporary),Zoom in (temporary),Zoom in (temporary),Zoom in (temporary),Zoom in (temporary),Zoom in (temporary),Zoom in (temporary),Zoom in (temporary)
